날짜,등급,가격(원)
2000-08-26,상,2833.3333333333335
2000-08-26,중,1833.3333333333333
2000-08-26,하,1066.6666666666667
2000-08-28,상,3500.0
2000-08-28,중,2400.0
2000-08-28,하,1400.0
2000-08-29,상,3666.6666666666665
2000-08-29,중,2400.0
2000-08-29,하,1400.0
2000-08-30,상,4666.666666666667
2000-08-30,중,3166.6666666666665
2000-08-30,특,6666.666666666667
2000-08-30,하,1700.0
2000-08-31,상,4666.666666666667
2000-08-31,중,3166.6666666666665
2000-08-31,특,6666.666666666667
2000-08-31,하,1700.0
2000-09-01,상,4666.666666666667
2000-09-01,중,3166.6666666666665
2000-09-01,특,6666.666666666667
2000-09-01,하,1700.0
2000-09-02,상,4500.0
2000-09-02,중,3000.0
2000-09-02,특,7833.333333333334
2000-09-02,하,1666.6666666666667
2000-09-04,상,4333.333333333333
2000-09-04,중,2833.3333333333335
2000-09-04,특,6500.0
2000-09-04,하,1666.6666666666667
2000-09-05,상,4333.333333333333
2000-09-05,중,2833.3333333333335
2000-09-05,특,6500.0
2000-09-05,하,1666.6666666666667
2000-09-06,상,4333.333333333333
2000-09-06,중,2833.3333333333335
2000-09-06,특,6000.0
2000-09-06,하,1666.6666666666667
2000-09-07,상,4333.333333333333
2000-09-07,중,2766.6666666666665
2000-09-07,특,6000.0
2000-09-07,하,1533.3333333333333
2000-09-08,상,4000.0
2000-09-08,중,2666.6666666666665
2000-09-08,특,6000.0
2000-09-08,하,1100.0
2000-09-09,상,4000.0
2000-09-09,중,2666.6666666666665
2000-09-09,특,6000.0
2000-09-09,하,933.3333333333334
2000-09-10,상,2833.3333333333335
2000-09-10,중,1766.6666666666667
2000-09-10,특,4416.666666666666
2000-09-10,하,733.3333333333334
2000-09-11,상,2833.3333333333335
2000-09-11,중,1766.6666666666667
2000-09-11,특,4416.666666666666
2000-09-11,하,733.3333333333334
2000-09-16,상,1933.3333333333333
2000-09-16,중,1366.6666666666667
2000-09-16,하,800.0
2000-09-18,상,2033.3333333333333
2000-09-18,중,1433.3333333333333
2000-09-18,하,833.3333333333334
2000-09-19,상,2033.3333333333333
2000-09-19,중,1433.3333333333333
2000-09-19,특,2666.6666666666665
2000-09-19,하,833.3333333333334
2000-09-20,상,2100.0
2000-09-20,중,1533.3333333333333
2000-09-20,특,2666.6666666666665
2000-09-20,하,866.6666666666666
2000-09-21,상,1666.6666666666667
2000-09-21,중,1100.0
2000-09-21,하,633.3333333333334
2000-09-22,상,2000.0
2000-09-22,중,1333.3333333333333
2000-09-22,하,700.0
2000-09-23,상,2000.0
2000-09-23,중,1366.6666666666667
2000-09-23,하,733.3333333333334
2000-09-25,상,1833.3333333333333
2000-09-25,중,1066.6666666666667
2000-09-25,하,600.0
2000-09-26,상,1833.3333333333333
2000-09-26,중,1066.6666666666667
2000-09-26,하,600.0
2000-09-27,상,1833.3333333333333
2000-09-27,중,1100.0
2000-09-27,하,633.3333333333334
2000-09-28,상,1766.6666666666667
2000-09-28,중,1100.0
2000-09-28,하,633.3333333333334
2000-09-29,상,1833.3333333333333
2000-09-29,중,1100.0
2000-09-29,하,633.3333333333334
2000-09-30,상,2333.3333333333335
2000-09-30,중,1500.0
2000-09-30,하,700.0
2000-10-02,상,2333.3333333333335
2000-10-02,중,1500.0
2000-10-02,하,700.0
2000-10-03,상,2333.3333333333335
2000-10-03,중,1500.0
2000-10-03,하,700.0
2001-08-28,상,2200.0
2001-08-28,중,1666.6666666666667
2001-08-28,특,3100.0
2001-08-28,하,1000.0
2001-08-29,상,2200.0
2001-08-29,중,1666.6666666666667
2001-08-29,특,3100.0
2001-08-29,하,1000.0
2001-08-30,상,2200.0
2001-08-30,중,1666.6666666666667
2001-08-30,특,3100.0
2001-08-30,하,1000.0
2001-08-31,상,2266.6666666666665
2001-08-31,중,1666.6666666666667
2001-08-31,특,3100.0
2001-08-31,하,1000.0
2001-09-01,상,2266.6666666666665
2001-09-01,중,1666.6666666666667
2001-09-01,특,3100.0
2001-09-01,하,1100.0
2001-09-03,상,2166.6666666666665
2001-09-03,중,1600.0
2001-09-03,특,3033.3333333333335
